Material counts for Quest Type:
TotalQuests: 2000

Quest Type: FIND_STRUCTURE
- FORTRESS             count: 26           16,25 %    (15,84% expected)
 + 1 Splash Potion: Leaping +

Mine 80 Iron Ore (⭐⭐)  
 + 20 Cooked Beef
 + 6 Honey Bottle

Chop 32 Spruce Logs (⭐)  
 + 1 Iron Leggings
 + 1 Bow

Mine 224 Coal Ore (⭐⭐)  
 + 1 Enchanted Book: Sweeping Edge II

Catch 16 fish (⭐⭐)  
 + 1 Music Disc 5

Chop 192 Logs (⭐⭐)  
 + 1 Bow: Punch I

Harvest 40 Pumpkins (⭐⭐)  
 + 1 Iron Spear: Unbreaking II

Kill 40 Chickens (⭐⭐)  
 + 4 Slime Ball

Mine 12 Diamond Ore (⭐⭐⭐)  
 + 1 Crossbow: Quick Charge III
 + 1 Iron Pickaxe: Unbreaking II

Trade with a Fisherman 14 times (⭐⭐⭐)  
 + 1 Iron Leggings: Unbreaking III

Mine 80 Redstone Ore (⭐⭐⭐)  
 + 48 Gold Ingot

Chop 160 Logs (⭐⭐)  
 + 1 Iron Spear: Knockback I

Trade with a Fletcher 6 times (⭐⭐)  
 + 12 Golden Carrot

Find a Pillager Outpost (⭐⭐⭐⭐)  
 + 10 Diamond

Mine 16 Copper Ore (⭐)  
 + 4 Iron Ingot
 + 1 Iron Shovel

Harvest 80 Beetroots (⭐⭐)  
 + 1 Iron Pickaxe: Unbreaking I

Kill 50 Creepers (⭐⭐⭐)  
 + 1 Diamond Shovel: Unbreaking II

Kill 20 Sheep (⭐⭐)  
 + 1 Crossbow
 + 1 Bow
 + 1 Iron Shovel

Mine 24 Lapis Ore (⭐⭐⭐)  
 + 1 Crossbow: Unbreaking III

Level up 25 times (⭐⭐⭐)  
 + 1 Iron Pickaxe: Unbreaking III

Mine 16 Lapis Ore (⭐⭐⭐)  
 + 4 Golden Apple
 + 1 Diamond Shovel

Harvest 16 Red Mushrooms (⭐⭐)  
 + 1 Diamond Shovel

Harvest 96 Wheat (⭐)  
 + 20 Cooked Chicken

Mine 56 Gold Ore (⭐⭐)  
 + 1 Enchanted Book: Thorns III

Harvest 16 Melon Slices (⭐)  
 + 8 Copper Ingot
 + 1 Iron Hoe
 + 1 Iron Shovel

Harvest 16 Carrots (⭐)  
 + 1 Bow

Mine 224 Coal Ore (⭐⭐)  
 + 32 Arrow

Mine 144 Coal Ore (⭐⭐)  
 + 1 Enchanted Book: Protection IV

Harvest 48 Wheat (⭐)  
 + 4 Gold Ingot

Mine 224 Coal Ore (⭐⭐)  
 + 2 Diamond

Mine 144 Coal Ore (⭐⭐)  
 + 1 Enchanted Book: Feather Falling I

Mine 24 Lapis Ore (⭐⭐⭐)  
 + 1 Vex Armor Trim Smithing Template
 + 96 Coal
 + 6 Honey Bottle

Harvest 64 Sugar Cane (⭐⭐)  
 + 32 Arrow

Find a Ruined Portal (⭐⭐⭐)  
 + 1 Iron Shovel: Unbreaking II

Chop 64 Logs (⭐)  
 + 8 Iron Ingot

Mine 144 Iron Ore (⭐⭐)  
 + 96 Coal

Harvest 112 Sugar Cane (⭐⭐)  
 + 5 Golden Apple

Eat some Cake (⭐⭐⭐⭐)  
 + 1 Diamond Pickaxe: Silk Touch
 + 1 Enchanted Book: Knockback II

Mine 2 Emerald Ore (⭐⭐⭐)  
 + 1 Iron Helmet: Aqua Affinity
 + 1 Diamond Shovel
 + 1 Goat Horn

Harvest 16 Wheat (⭐)  
 + 4 Cooked Beef

Run 22,5km (⭐⭐⭐⭐⭐)  
 + 3 Wither Skeleton Skull

Harvest 56 Red Mushrooms (⭐⭐⭐)  
 + 1 Enchanted Book: Protection II
 + 6 Splash Potion: Strength

Harvest 12 Pumpkins (⭐)  
 + 1 Golden Apple

Trade with a Villager 12 times (⭐⭐)  
 + 4 Ender Pearl

Mine 64 Gold Ore (⭐⭐)  
 + 20 Golden Carrot
 + 1 Iron Leggings

Chop 32 Acacia Logs (⭐)  
 + 1 Splash Potion: Strength
 + 1 Fishing Rod
 + 1 Iron Spear

Harvest 48 Melon Slices (⭐⭐)  
 + 3 Ghast Tear

Harvest 80 Carrots (⭐⭐)  
 + 2 Splash Potion: Regeneration

Find a Village (⭐⭐⭐)  
 + 44 Cooked Porkchop
 + 1 Diamond Hoe

Ride 1,4km on a Strider (⭐⭐⭐⭐⭐)  
 + 28 Diamond

Harvest 16 Cacti (⭐)  
 + 8 Copper Ingot

Trade with a Weaponsmith 8 times (⭐⭐)  
 + 6 Splash Potion: Healing II

Harvest 80 Sweet Berries (⭐⭐)  
 + 1 Diamond

Mine 48 Copper Ore (⭐)  
 + 8 Gold Ingot
 + 1 Iron Pickaxe

Chop 224 Logs (⭐⭐)  
 + 36 Cooked Mutton

Trade with a Farmer 4 times (⭐⭐)  
 + 56 Coal

Travel 1km with a Boat (⭐⭐)  
 + 1 Enchanted Book: Aqua Affinity
 + 1 Iron Pickaxe

Mine 16 Copper Ore (⭐)  
 + 1 Bow

Mine 32 Lapis Ore (⭐⭐⭐)  
 + 1 Enchanted Book: Fire Aspect II

Kill 50 Drowned (⭐⭐⭐)  
 + 1 Diamond Shovel: Unbreaking II
 + 6 Chorus Fruit

Harvest 48 Sugar Cane (⭐⭐)  
 + 24 Copper Ingot

Mine 48 Lapis Ore (⭐⭐⭐⭐)  
 + 1 Snout Armor Trim Smithing Template

Mine 144 Coal Ore (⭐⭐)  
 + 6 Splash Potion: Healing

Mine 8 Lapis Ore (⭐⭐)  
 + 44 Iron Ingot

Enchant a Diamond Sword with Sharpness II+ (⭐⭐)  
 + 1 Enchanted Book: Protection IV

Kill 2 Endermen (⭐⭐)  
 + 1 Chainmail Helmet: Blast Protection III

Chop 160 Logs (⭐⭐)  
 + 32 Coal
 + 1 Bow

Level up 20 times (⭐⭐⭐)  
 + 64 Arrow

Pick 12 Poppys (⭐)  
 + 1 Bow
 + 1 Iron Pickaxe

Mine 16 Diamond Ore (⭐⭐⭐⭐)  
 + 96 Arrow
 + 1 Enchanted Book: Thorns III

Mine 12 Diamond Ore (⭐⭐⭐)  
 + 1 Enchanted Book: Thorns III
 + 1 Iron Leggings: Thorns III

Chop 192 Logs (⭐⭐)  
 + 1 Sea Lantern

Find a Swamp Hut (⭐⭐⭐⭐⭐)  
 + 1 Netherite Pickaxe
 + 6 Sea Lantern
 + 3 Splash Potion: Night Vision

Kill 110 Skeletons (⭐⭐⭐⭐)  
 + 96 Iron Ingot
 + 6 Splash Potion: Regeneration II

Harvest 96 Sweet Berries (⭐⭐)  
 + 2 Amethyst Shard

Level up 25 times (⭐⭐⭐)  
 + 92 Copper Ingot

Chop 64 Logs (⭐)  
 + 8 Iron Ingot

Harvest 40 Pumpkins (⭐⭐)  
 + 96 Coal

Level up 35 times (⭐⭐⭐)  
 + 128 Arrow

Chop 32 Logs (⭐)  
 + 1 Splash Potion: Night Vision +

Mine 40 Gold Ore (⭐⭐)  
 + 32 Iron Ingot

Find a Shipwreck (⭐⭐⭐)  
 + 1 Iron Spear: Lunge II
 + 96 Coal

Harvest 32 Sweet Berries (⭐)  
 + 8 Flint

Chop 32 Oak Logs (⭐)  
 + 4 Golden Carrot

Kill 8 Breezes (⭐⭐⭐⭐)  
 + 48 Gold Ingot
 + 1 Enchanted Book: Silk Touch

Kill 9 Ghasts (⭐⭐⭐⭐⭐)  
 + 1 Netherite Hoe
 + 48 Gold Ingot

Mine 80 Coal Ore (⭐)  
 + 3 Potion: Slow Falling +

Mine 24 Diamond Ore (⭐⭐⭐⭐)  
 + 1 Netherite Upgrade Smithing Template

Trade with a Toolsmith 14 times (⭐⭐⭐)  
 + 96 Copper Ingot

Ride 5km on a Horse (⭐⭐⭐⭐)  
 + 1 Enchanted Book: Silk Touch
 + 96 Coal
 + 6 Splash Potion: Leaping +

Mine 12 Ancient Debris (⭐⭐⭐⭐⭐)  
 + 24 Slime Ball
 + 48 Gold Ingot
 + 6 Nautilus Shell

Swim 2,8km (⭐⭐⭐⭐)  
 + 96 Iron Ingot

Run 15km (⭐⭐⭐⭐)  
 + 2 Wither Skeleton Skull

Trade with a Villager 2 times (⭐)  
 + 1 Ghast Tear

Kill 40 Piglins (⭐⭐⭐⭐⭐)  
 + 1 Netherite Upgrade Smithing Template
 + 9 Golden Apple

Harvest 16 Melon Slices (⭐)  
 + 3 Splash Potion: Night Vision

Find a Ruined Portal (⭐⭐⭐)  
 + 1 Iron Shovel: Fortune II

Chop 32 Logs (⭐)  
 + 1 Iron Pickaxe

Harvest 80 Beetroots (⭐⭐)  
 + 1 Iron Pickaxe: Unbreaking II
 + 1 Iron Leggings

Harvest 48 Beetroots (⭐⭐)  
 + 20 Copper Ingot

Chop 64 Logs (⭐)  
 + 3 Potion: Healing

Kill 12 Wither Skeletons (⭐⭐⭐⭐⭐)  
 + 1 Netherite Axe
 + 1 Crossbow: Unbreaking III
 + 6 Potion: Swiftness II

Mine 48 Lapis Ore (⭐⭐⭐⭐)  
 + 3 Echo Shard
 + 1 Bundle

Mine 64 Gold Ore (⭐⭐)  
 + 1 Enchanted Book: Sweeping Edge II

Chop 192 Logs (⭐⭐)  
 + 1 Enchanted Book: Efficiency III

Fish 2 items (⭐)  
 + 2 Splash Potion: Leaping II

Harvest 32 Sweet Berries (⭐)  
 + 1 Crossbow: Piercing II

Run 12,5km (⭐⭐⭐⭐)  
 + 1 Enchanted Book: Soul Speed III
 + 6 Potion: Regeneration
 + 6 Potion: Strength II

Trade with a Villager 2 times (⭐)  
 + 2 Potion: Strength

Trade with a Armorer 8 times (⭐⭐)  
 + 1 Iron Axe: Sharpness IV

Trade with a Shepherd 12 times (⭐⭐⭐)  
 + 1 Sentry Armor Trim Smithing Template

Mine 128 Coal Ore (⭐⭐)  
 + 1 Enchanted Book: Sweeping Edge II

Chop 64 Logs (⭐)  
 + 8 Flint
 + 1 Iron Pickaxe

Mine 36 Diamond Ore (⭐⭐⭐⭐⭐)  
 + 1 Netherite Upgrade Smithing Template
 + 1 Enchanted Book: Piercing IV

Harvest 96 Sugar Cane (⭐⭐)  
 + 1 Enchanted Book: Sharpness III

Chop 192 Logs (⭐⭐)  
 + 1 Iron Axe: Efficiency II

Chop 64 Logs (⭐)  
 + 1 Iron Pickaxe
 + 1 Iron Hoe

Chop 128 Logs (⭐)  
 + 16 Iron Ingot

Level up 20 times (⭐⭐⭐)  
 + 3 Diamond
 + 6 Potion: Healing

Mine 112 Iron Ore (⭐⭐)  
 + 1 Iron Pickaxe: Efficiency III

Mine 36 Diamond Ore (⭐⭐⭐⭐⭐)  
 + 1 Enchanted Book: Power V
 + 96 Coal
 + 1 Music Disc Mall

Chop 160 Logs (⭐⭐)  
 + 8 Gold Ingot

Harvest 16 Potatoes (⭐)  
 + 8 Coal

Trade with a Villager 6 times (⭐⭐)  
 + 1 Diamond

Mine 80 Gold Ore (⭐⭐)  
 + 96 Coal
 + 1 Diamond Shovel

Find an Ocean Ruin (⭐⭐⭐)  
 + 1 Diamond Spear: Fire Aspect I

Mine 128 Coal Ore (⭐⭐)  
 + 3 Name Tag

Harvest 112 Wheat (⭐)  
 + 24 Cooked Mutton

Level up 40 times (⭐⭐⭐)  
 + 96 Coal
 + 1 Music Disc Chirp
 + 1 Jukebox

Chop 64 Acacia Logs (⭐⭐)  
 + 20 Iron Ingot

Chop 224 Logs (⭐⭐)  
 + 1 Chainmail Leggings: Fire Protection I

Harvest 64 Melon Slices (⭐⭐)  
 + 5 Splash Potion: Water Breathing

Pick 7 Azure Bluets (⭐)  
 + 1 Splash Potion: Fire Resistance

Trade with a Villager 2 times (⭐)  
 + 1 Iron Leggings

Harvest 32 Cocoa Beans (⭐⭐)  
 + 1 Enchanted Book: Unbreaking I
 + 1 Iron Axe

Find a Ruined Portal (⭐⭐⭐)  
 + 36 Gold Ingot

Harvest 112 Potatoes (⭐⭐)  
 + 1 Iron Axe: Efficiency II

Mine 64 Gold Ore (⭐⭐)  
 + 1 Iron Axe: Silk Touch

Mine 4 Ancient Debris (⭐⭐⭐⭐)  
 + 1 Netherite Hoe

Chop 32 Birch Logs (⭐)  
 + 1 Potion: Water Breathing
 + 1 Iron Spear

Kill 4 Boggeds (⭐⭐)  
 + 1 Iron Spear: Looting II

Find a Jungle Pyramid (⭐⭐⭐⭐⭐)  
 + 3 Enchanted Golden Apple
 + 1 Bow: Mending

Mine 144 Iron Ore (⭐⭐)  
 + 32 Arrow

Harvest 40 Melon Slices (⭐⭐)  
 + 1 Diamond

Find a Pillager Outpost (⭐⭐⭐⭐)  
 + 1 Enchanted Book: Mending

Kill 70 Zombies (⭐⭐⭐)  
 + 28 Golden Carrot
 + 1 Crossbow: Piercing IV

Harvest 14 Chorus Flowers (⭐⭐⭐⭐⭐)  
 + 1 Enchanted Book: Efficiency V
 + 96 Iron Ingot
 + 96 Coal
 + 6 Potion: Water Breathing
 + 3 Potion: Invisibility

Mine 128 Iron Ore (⭐⭐)  
 + 1 Bundle
 + 1 Amethyst Shard

Chop 224 Logs (⭐⭐)  
 + 28 Iron Ingot

Mine 56 Gold Ore (⭐⭐)  
 + 1 Chainmail Helmet: Aqua Affinity

Chop 96 Oak Logs (⭐⭐)  
 + 1 Enchanted Book: Sweeping Edge III

Harvest 48 Cacti (⭐⭐)  
 + 32 Iron Ingot

Chop 64 Spruce Logs (⭐⭐)  
 + 2 Potion: Regeneration II

Find a Desert Pyramid (⭐⭐⭐)  
 + 96 Iron Ingot

Pick 6 Cornflowers (⭐)  
 + 1 Iron Helmet

Mine 24 Gold Ore (⭐⭐)  
 + 40 Coal

Harvest 48 Carrots (⭐)  
 + 6 Chorus Fruit

Harvest 16 Brown Mushrooms (⭐⭐)  
 + 20 Iron Ingot

Chop 224 Logs (⭐⭐)  
 + 3 Splash Potion: Night Vision
 + 1 Iron Axe

Level up 20 times (⭐⭐⭐)  
 + 1 Enchanted Book: Protection III

Mine 144 Coal Ore (⭐⭐)  
 + 1 Diamond

Mine 48 Redstone Ore (⭐⭐⭐)  
 + 1 Iron Helmet: Protection III

Kill 90 Zombies (⭐⭐⭐)  
 + 1 Bow: Unbreaking III
 + 3 Potion: Night Vision +

Chop 32 Oak Logs (⭐)  
 + 1 Iron Helmet
 + 1 Iron Axe: Unbreaking II

Mine 224 Coal Ore (⭐⭐)  
 + 1 Enchanted Book: Projectile Protection III

Find a Desert Pyramid (⭐⭐⭐)  
 + 1 Diamond Pickaxe
 + 4 Blaze Rod

Chop 128 Logs (⭐)  
 + 8 Gold Ingot

Mine 80 Nether Gold Ore (⭐⭐⭐)  
 + 1 Enchanted Book: Fortune II
 + 96 Coal

Find a Ruined Portal (⭐⭐⭐)  
 + 1 Iron Helmet: Aqua Affinity
 + 1 Goat Horn

Mine 128 Coal Ore (⭐⭐)  
 + 24 Iron Ingot

Enchant a Bow with Unbreaking I+ (⭐)  
 + 1 Crossbow
 + 1 Iron Pickaxe

Mine 160 Coal Ore (⭐⭐)  
 + 1 Chainmail Helmet: Blast Protection II

Mine 48 Iron Ore (⭐)  
 + 8 Gold Ingot
 + 1 Iron Pickaxe

Mine 48 Gold Ore (⭐⭐)  
 + 1 Enchanted Book: Power IV

Trade with a Toolsmith 8 times (⭐⭐)  
 + 6 Splash Potion: Strength II

Mine 128 Iron Ore (⭐⭐)  
 + 32 Arrow

Mine 48 Copper Ore (⭐)  
 + 1 Diamond Shovel

Chop 160 Logs (⭐⭐)  
 + 1 Diamond

Trade with a Shepherd 4 times (⭐⭐)  
 + 2 Diamond

Mine 224 Coal Ore (⭐⭐)  
 + 1 Enchanted Book: Respiration I

Harvest 64 Carrots (⭐)  
 + 1 Diamond Shovel

Mine 96 Iron Ore (⭐⭐)  
 + 4 Slime Ball
 + 1 Iron Axe

Find a Desert Pyramid (⭐⭐⭐)  
 + 6 Diamond

Kill 70 Skeletons (⭐⭐⭐⭐)  
 + 1 Enchanted Book: Quick Charge III
 + 1 Music Disc Pigstep

Level up 40 times (⭐⭐⭐)  
 + 1 Iron Leggings: Unbreaking III
 + 1 Echo Shard

Level up 15 times (⭐⭐)  
 + 1 Enchanted Book: Sweeping Edge II

Harvest 32 Potatoes (⭐)  
 + 16 Coal

Harvest 48 Cacti (⭐⭐)  
 + 1 Enchanted Book: Efficiency III

Kill 20 Piglins (⭐⭐⭐⭐)  
 + 9 Golden Apple
 + 1 Enchanted Book: Thorns III

Find a Village (⭐⭐⭐)  
 + 6 Ghast Tear

Chop 160 Logs (⭐⭐)  
 + 1 Iron Leggings
 + 1 Iron Helmet

Run 2,5km (⭐⭐)  
 + 1 Iron Pickaxe: Silk Touch

Chop 160 Logs (⭐⭐)  
 + 20 Iron Ingot

Harvest 8 Chorus Flowers (⭐⭐⭐⭐)  
 + 1 Netherite Axe: Sharpness III

Mine 8 Lapis Ore (⭐⭐)  
 + 1 Enchanted Book: Protection IV

Mine 128 Iron Ore (⭐⭐)  
 + 1 Bow: Unbreaking II

Trade with a Librarian 12 times (⭐⭐⭐)  
 + 20 Ender Pearl

Trade with a Librarian 6 times (⭐⭐⭐)  
 + 3 Diamond

Pick 5 Red Tulips (⭐)  
 + 1 Enchanted Book: Luck Of The Sea I
 + 1 Iron Pickaxe

Harvest 80 Wheat (⭐)  
 + 1 Iron Leggings
 + 1 Iron Pickaxe

Find a Village (⭐⭐⭐)  
 + 1 Enchanted Book: Power III

Chop 160 Logs (⭐⭐)  
 + 28 Cooked Mutton

Trade with a Villager 12 times (⭐⭐)  
 + 1 Enchanted Book: Sweeping Edge II

Chop 96 Logs (⭐)  
 + 1 Iron Pickaxe
 + 1 Chainmail Helmet
 + 1 Iron Shovel
 + 1 Iron Spear

Mine 192 Coal Ore (⭐⭐)  
 + 6 Splash Potion: Leaping

Travel 1km with a Boat (⭐⭐)  
 + 4 Slime Ball

Mine 128 Iron Ore (⭐⭐)  
 + 1 Enchanted Book: Feather Falling I
 + 1 Iron Axe

Harvest 24 Pumpkins (⭐⭐)  
 + 1 Enchanted Book: Thorns I

Harvest 64 Sugar Cane (⭐⭐)  
 + 1 Chainmail Helmet: Aqua Affinity
 + 1 Fishing Rod
 + 1 Iron Hoe

Mine 12 Ancient Debris (⭐⭐⭐⭐⭐)  
 + 40 Wind Charge
 + 96 Iron Ingot

Mine 48 Nether Gold Ore (⭐⭐⭐)  
 + 1 Enchanted Golden Apple

Mine 48 Iron Ore (⭐)  
 + 3 Potion: Fire Resistance

Chop 64 Acacia Logs (⭐⭐)  
 + 2 Splash Potion: Fire Resistance +
 + 1 Iron Pickaxe

Find an Ocean Monument (⭐⭐⭐⭐)  
 + 36 Golden Carrot
 + 12 Glow Ink Sac
 + 1 Spyglass
 + 1 Bow

Chop 160 Logs (⭐⭐)  
 + 1 Diamond Spear

Trade with a Villager 10 times (⭐⭐)  
 + 16 Gold Ingot
 + 1 Iron Axe

Find a Village (⭐⭐⭐)  
 + 6 Potion: Regeneration II
 + 1 Bow: Flame

Harvest 48 Cocoa Beans (⭐⭐)  
 + 1 Iron Pickaxe: Silk Touch

Mine 56 Gold Ore (⭐⭐)  
 + 32 Arrow
 + 1 Diamond Shovel
 + 1 Bow
 + 1 Iron Axe

Catch 24 fish (⭐⭐)  
 + 6 Splash Potion: Slow Falling

Mine 96 Nether Quartz Ore (⭐⭐⭐⭐)  
 + 1 Diamond Axe: Silk Touch
 + 1 Enchanted Book: Efficiency III

Fish 12 Cod (⭐)  
 + 8 Firework Rocket

Mine 128 Coal Ore (⭐⭐)  
 + 4 Slime Ball

Enchant a Diamond Pickaxe with Efficiency I+ (⭐⭐)  
 + 16 Flint

Find a Village (⭐⭐⭐)  
 + 6 Ghast Tear

Mine 4 Ancient Debris (⭐⭐⭐⭐)  
 + 1 Netherite Shovel

Mine 48 Lapis Ore (⭐⭐⭐⭐)  
 + 96 Iron Ingot
 + 1 Iron Pickaxe: Efficiency III

Harvest 48 Sugar Cane (⭐⭐)  
 + 1 Enchanted Book: Fire Protection III

Mine 96 Iron Ore (⭐⭐)  
 + 72 Coal

Find an End City (⭐⭐⭐⭐⭐)  
 + 1 Netherite Spear: Lunge II
 + 1 Sentry Armor Trim Smithing Template

Mine 56 Lapis Ore (⭐⭐⭐⭐)  
 + 1 Enchanted Book: Respiration III
 + 96 Coal

Chop 128 Logs (⭐)  
 + 2 Potion: Healing II
 + 1 Iron Helmet

Harvest 64 Sugar Cane (⭐⭐)  
 + 1 Enchanted Book: Aqua Affinity

Chop 96 Logs (⭐)  
 + 8 Copper Ingot
 + 1 Iron Axe: Unbreaking III

Chop 128 Logs (⭐)  
 + 16 Iron Ingot

Harvest 48 Sweet Berries (⭐)  
 + 8 Gold Ingot

Harvest 32 Sugar Cane (⭐)  
 + 1 Diamond Shovel

Ring a Bell (⭐⭐⭐⭐)  
 + 1 Diamond Axe: Smite III

Harvest 32 Melon Slices (⭐⭐)  
 + 6 Potion: Swiftness II

Harvest 6 Chorus Flowers (⭐⭐⭐⭐)  
 + 12 Diamond

Mine 48 Coal Ore (⭐)  
 + 1 Iron Leggings
 + 1 Iron Spear

Mine 16 Redstone Ore (⭐⭐)  
 + 1 Iron Spear: Sharpness II

Mine 192 Coal Ore (⭐⭐)  
 + 1 Music Disc Chirp

Harvest 80 Sugar Cane (⭐⭐)  
 + 88 Coal

Mine 4 Ancient Debris (⭐⭐⭐⭐)  
 + 11 Diamond

Mine 80 Nether Quartz Ore (⭐⭐⭐)  
 + 48 Flint
 + 1 Iron Pickaxe: Unbreaking I

Find a Desert Pyramid (⭐⭐⭐)  
 + 1 Enchanted Book: Density IV

Mine 80 Redstone Ore (⭐⭐⭐)  
 + 48 Gold Ingot

Swim 1,7km (⭐⭐⭐)  
 + 36 Golden Carrot
 + 6 Honey Bottle

Mine 160 Coal Ore (⭐⭐)  
 + 2 Ghast Tear

Mine 24 Diamond Ore (⭐⭐⭐⭐)  
 + 1 Netherite Pickaxe: Silk Touch

Run 12,5km (⭐⭐⭐⭐)  
 + 9 Golden Apple
 + 1 Enchanted Book: Aqua Affinity

Trade with a Villager 10 times (⭐⭐)  
 + 1 Diamond Shovel
 + 8 Golden Carrot

Find a Village (⭐⭐⭐)  
 + 1 Enchanted Book: Projectile Protection III

Mine 32 Iron Ore (⭐)  
 + 1 Saddle
 + 1 Iron Pickaxe
 + 1 Iron Spear

Chop 64 Spruce Logs (⭐⭐)  
 + 1 Diamond
 + 1 Iron Pickaxe

Level up 20 times (⭐⭐⭐)  
 + 1 Enchanted Book: Thorns II

Chop 32 Logs (⭐)  
 + 1 Chainmail Helmet

Harvest 28 Pumpkins (⭐⭐)  
 + 1 Iron Hoe: Efficiency IV
 + 1 Iron Leggings

Run 7,5km (⭐⭐⭐)  
 + 1 Diamond Axe
 + 4 Blaze Rod

Mine 112 Coal Ore (⭐⭐)  
 + 1 Diamond
 + 1 Iron Pickaxe

Mine 144 Coal Ore (⭐⭐)  
 + 28 Iron Ingot

Fish 8 Cod (⭐)  
 + 2 Potion: Fire Resistance

Harvest 32 Cacti (⭐⭐)  
 + 1 Diamond

Swim 1,3km (⭐⭐⭐)  
 + 4 Breeze Rod

Mine 16 Lapis Ore (⭐⭐⭐)  
 + 1 Potion: Luck
 + 6 Splash Potion: Swiftness +

Trade with a Villager 6 times (⭐⭐)  
 + 1 Diamond

Find a Village (⭐⭐⭐)  
 + 76 Iron Ingot

Trade with a Shepherd 6 times (⭐⭐)  
 + 52 Iron Ingot

Level up 30 times (⭐⭐⭐)  
 + 8 Blaze Rod
 + 6 Honey Bottle

Mine 48 Redstone Ore (⭐⭐⭐)  
 + 1 Enchanted Book: Protection II
 + 3 Splash Potion: Night Vision +

Chop 32 Logs (⭐)  
 + 1 Iron Pickaxe

Harvest 8 Chorus Flowers (⭐⭐⭐⭐)  
 + 1 Enchanted Book: Bane Of Arthropods V
 + 96 Iron Ingot

Mine 16 Nether Gold Ore (⭐⭐)  
 + 1 Enchanted Book: Feather Falling III

Trade with a Butcher 8 times (⭐⭐)  
 + 64 Arrow

Mine 88 Gold Ore (⭐⭐⭐)  
 + 32 Golden Carrot

Harvest 48 Beetroots (⭐⭐)  
 + 4 Potion: Strength +

Find a Village (⭐⭐⭐)  
 + 12 Slime Ball

Trade with a Farmer 10 times (⭐⭐)  
 + 88 Coal

Mine 16 Nether Gold Ore (⭐⭐)  
 + 32 Arrow

Find a Nether Fortress (⭐⭐⭐⭐)  
 + 1 Iron Helmet: Protection III
 + 3 Potion: Invisibility +
 + 1 Diamond Shovel

Mine 56 Lapis Ore (⭐⭐⭐⭐)  
 + 1 Enchanted Book: Efficiency IV
 + 1 Diamond Helmet
 + 1 Fishing Rod: Lure III
 + 1 Crossbow

Harvest 112 Potatoes (⭐⭐)  
 + 32 Copper Ingot

Mine 12 Diamond Ore (⭐⭐⭐)  
 + 1 Iron Leggings: Protection IV

Mine 224 Coal Ore (⭐⭐)  
 + 20 Gold Ingot

Mine 96 Coal Ore (⭐)  
 + 1 Crossbow
 + 1 Iron Helmet
 + 1 Iron Pickaxe
 + 1 Iron Spear

Mine 80 Nether Gold Ore (⭐⭐⭐)  
 + 1 Enchanted Book: Unbreaking II
 + 6 Splash Potion: Regeneration

Find a Nether Fortress (⭐⭐⭐⭐)  
 + 9 Golden Apple

Swim 1,3km (⭐⭐⭐)  
 + 8 Ender Pearl

Find a Swamp Hut (⭐⭐⭐⭐⭐)  
 + 3 Enchanted Golden Apple
 + 1 Enchanted Book: Feather Falling IV

Play some Music (⭐⭐⭐⭐)  
 + 160 Arrow
 + 96 Iron Ingot

Trade with a Shepherd 12 times (⭐⭐⭐)  
 + 96 Coal

Mine 36 Diamond Ore (⭐⭐⭐⭐⭐)  
 + 16 Blaze Rod
 + 1 Enchanted Book: Mending
 + 3 Splash Potion: Night Vision +

Mine 8 Lapis Ore (⭐⭐)  
 + 1 Iron Leggings: Thorns II

Mine 80 Iron Ore (⭐⭐)  
 + 4 Splash Potion: Healing II

Mine 80 Gold Ore (⭐⭐)  
 + 1 Splash Potion: Luck
 + 1 Diamond

Harvest 96 Potatoes (⭐⭐)  
 + 28 Iron Ingot

Mine 32 Gold Ore (⭐⭐)  
 + 24 Cooked Beef
 + 1 Fishing Rod

Harvest 8 Chorus Flowers (⭐⭐⭐⭐)  
 + 160 Arrow
 + 96 Iron Ingot

Harvest 96 Carrots (⭐⭐)  
 + 56 Coal

Chop 64 Mangrove Logs (⭐⭐)  
 + 1 Chainmail Helmet: Protection III

Mine 64 Iron Ore (⭐⭐)  
 + 2 Nautilus Shell
 + 6 Honey Bottle

Harvest 96 Wheat (⭐)  
 + 6 Honey Bottle
 + 2 Potion: Leaping +

Harvest 112 Potatoes (⭐⭐)  
 + 1 Sea Lantern

Mine 128 Iron Ore (⭐⭐)  
 + 48 Cooked Porkchop

Harvest 64 Wheat (⭐)  
 + 1 Iron Helmet
 + 1 Iron Sword
 + 1 Iron Shovel

Find a Village (⭐⭐⭐)  
 + 1 Iron Helmet: Protection III

Pick 2 Pink Tulips (⭐)  
 + 4 Iron Ingot

Level up 45 times (⭐⭐⭐⭐)  
 + 1 Diamond Helmet: Blast Protection IV

Find a Nether Fortress (⭐⭐⭐⭐)  
 + 24 Slime Ball

Kill 5 Witches (⭐⭐⭐⭐)  
 + 96 Copper Ingot
