Material counts for Quest Type:
TotalQuests: 2000

Quest Type: FISH_ITEM
- COD                  count: 21           30,00 %    (25,45% expected)
 + 1 Diamond Sword

Kill 20 Pigs (⭐⭐)
 + 1 Iron Leggings
 + 1 Bow
 + 1 Iron Sword

Chop 96 Oak Logs (⭐⭐)
 + 1 Chainmail Leggings: Unbreaking I

Kill 100 Zombies (⭐⭐⭐)
 + 96 Coal
 + 1 Diamond Sword
 + 1 Crossbow

Harvest 16 Cacti (⭐)
 + 1 Crossbow: Piercing III
 + 1 Iron Pickaxe
 + 1 Fishing Rod

Harvest 64 Potatoes (⭐)
 + 32 Coal

Kill 5 Witches (⭐⭐⭐⭐)
 + 1 Netherite Sword: Mending

Kill 2 Glow Squids (⭐⭐⭐)
 + 1 Enchanted Book: Efficiency IV
 + 1 Iron Helmet

Chop 32 Logs (⭐)
 + 1 Potion: Water Breathing
 + 1 Iron Sword

Mine 176 Coal Ore (⭐⭐)
 + 32 Iron Ingot

Harvest 44 Pumpkins (⭐⭐⭐)
 + 68 Iron Ingot

Kill 40 Skeletons (⭐⭐⭐)
 + 1 Diamond Axe: Fortune I

Mine 32 Nether Quartz Ore (⭐⭐⭐)
 + 1 Iron Boots: Unbreaking II

Enchant 7 Books (⭐⭐)
 + 1 Chainmail Helmet: Respiration II

Find a Village (⭐⭐⭐)
 + 4 Diamond

Kill 8 Magma Cubes (⭐⭐⭐⭐)
 + 24 Slime Ball

Enchant a Diamond Sword with Sharpness I+ (⭐⭐)
 + 1 Chainmail Leggings: Fire Protection III

Kill 30 Sheep (⭐⭐)
 + 1 Enchanted Book: Unbreaking II
 + 1 Bow

Enchant a Diamond Pickaxe with Unbreaking II+ (⭐⭐⭐)
 + 1 Iron Leggings: Unbreaking II

Harvest 48 Sugar Cane (⭐⭐)
 + 12 Gold Ingot

Level up 30 times (⭐⭐⭐)
 + 1 Enchanted Golden Apple

Kill 12 Zoglins (⭐⭐⭐⭐)
 + 96 Iron Ingot

Harvest 32 Carrots (⭐)
 + 4 Iron Ingot
 + 1 Iron Hoe

Mine 32 Gold Ore (⭐⭐)
 + 1 Sea Lantern

Harvest 64 Sweet Berries (⭐⭐)
 + 6 Honey Bottle
 + 1 Splash Potion: Invisibility
 + 1 Iron Shovel

Enchant 8 Books (⭐⭐)
 + 2 Diamond

Chop 64 Logs (⭐)
 + 1 Iron Axe
 + 1 Iron Sword

Kill 40 Creepers (⭐⭐⭐)
 + 1 Bow: Power IV

Trade with a Villager 14 times (⭐⭐⭐)
 + 9 Emerald

Mine 32 Copper Ore (⭐)
 + 1 Enchanted Book: Lure III
 + 1 Iron Sword

Find a Village (⭐⭐⭐)
 + 76 Iron Ingot

Chop 64 Acacia Logs (⭐⭐)
 + 1 Iron Sword: Sharpness I

Harvest 16 Sweet Berries (⭐)
 + 1 Potion: Strength

Harvest 48 Cacti (⭐⭐)
 + 1 Chainmail Chestplate: Unbreaking I

Mine 32 Iron Ore (⭐)
 + 12 Cooked Porkchop

Mine 80 Iron Ore (⭐⭐)
 + 1 Chainmail Helmet: Unbreaking I

Trade with a Cartographer 2 times (⭐⭐)
 + 32 Arrow

Harvest 48 Cacti (⭐⭐)
 + 32 Cooked Porkchop

Mine 64 Redstone Ore (⭐⭐⭐)
 + 16 Slime Ball

Chop 64 Oak Logs (⭐⭐)
 + 1 Diamond

Harvest 16 Sugar Cane (⭐)
 + 8 Cooked Porkchop

Kill 28 Blazes (⭐⭐⭐⭐⭐)
 + 1 Netherite Chestplate: Mending

Harvest 16 Wheat (⭐)
 + 1 Emerald

Ride 10km on a Horse (⭐⭐⭐⭐⭐)
 + 24 Blaze Rod

Fish an item (⭐)
 + 8 Iron Ingot

Level up 45 times (⭐⭐⭐⭐)
 + 1 Enchanted Book: Fortune III

Kill 30 Chickens (⭐⭐)
 + 3 Emerald

Enchant a Bow (⭐)
 + 1 Chainmail Chestplate

Mine 16 Diamond Ore (⭐⭐⭐⭐)
 + 1 Enchanted Book: Protection IV

Level up 25 times (⭐⭐⭐)
 + 1 Diamond Sword: Unbreaking I

Enchant a Diamond Shovel with Efficiency III+ (⭐⭐)
 + 48 Cooked Mutton
 + 1 Iron Pickaxe

Mine 144 Iron Ore (⭐⭐)
 + 1 Enchanted Book: Fire Protection II

Enchant a Diamond Sword with Smite II+ (⭐⭐)
 + 1 Enchanted Book: Thorns II

Kill 30 Cows (⭐⭐)
 + 1 Chainmail Leggings: Fire Protection III

Harvest 96 Sweet Berries (⭐⭐)
 + 1 Enchanted Book: Projectile Protection III

Mine 64 Redstone Ore (⭐⭐⭐)
 + 1 Iron Chestplate: Protection III

Chop 192 Logs (⭐⭐)
 + 1 Enchanted Book: Feather Falling I

Level up 45 times (⭐⭐⭐⭐)
 + 96 Iron Ingot

Find a Ruined Portal (⭐⭐⭐)
 + 32 Arrow
 + 1 Music Disc Mellohi

Mine 16 Nether Gold Ore (⭐⭐)
 + 1 Potion: Luck
 + 1 Iron Chestplate

Mine 64 Redstone Ore (⭐⭐⭐)
 + 1 Enchanted Book: Respiration III

Trade with a Villager 4 times (⭐⭐)
 + 1 Enchanted Book: Protection I

Mine 144 Iron Ore (⭐⭐)
 + 6 Splash Potion: Slow Falling

Harvest 48 Sugar Cane (⭐⭐)
 + 1 Enchanted Book: Blast Protection IV

Fish 20 Cod (⭐⭐)
 + 1 Diamond

Mine 32 Iron Ore (⭐)
 + 16 Coal
 + 1 Iron Hoe

Chop 128 Logs (⭐)
 + 1 Diamond Shovel

Enchant a Diamond Pickaxe (⭐)
 + 8 Flint

Fish 1 Pufferfish (⭐)
 + 1 Potion: Jump Boost +
 + 1 Iron Sword

Mine 24 Gold Ore (⭐⭐)
 + 1 Diamond
 + 1 Iron Pickaxe

Harvest 8 Melon Slices (⭐)
 + 2 Splash Potion: Speed

Mine 32 Copper Ore (⭐)
 + 8 Cooked Beef
 + 1 Iron Boots
 + 1 Iron Sword

Harvest 48 Cacti (⭐⭐)
 + 1 Enchanted Book: Thorns III

Enchant 7 Books (⭐⭐)
 + 5 Potion: Regeneration +

Chop 128 Logs (⭐)
 + 1 Potion: Regeneration
 + 1 Iron Axe: Unbreaking III
 + 1 Iron Pickaxe

Kill 100 Drowned (⭐⭐⭐⭐)
 + 1 Netherite Pickaxe

Fish 2 Salmon (⭐)
 + 1 Chainmail Leggings
 + 1 Iron Shovel

Chop 64 Logs (⭐)
 + 4 Gold Ingot

Trade with a Butcher 12 times (⭐⭐⭐⭐)
 + 1 Chainmail Leggings: Mending

Harvest 32 Carrots (⭐)
 + 1 Crossbow

Find a Village (⭐⭐⭐)
 + 1 Enchanted Book: Knockback II
 + 1 Diamond Shovel

Kill 16 Cave Spiders (⭐⭐⭐⭐)
 + 1 Netherite Sword

Kill 10 Chickens (⭐)
 + 1 Iron Leggings

Mine 64 Iron Ore (⭐⭐)
 + 1 Diamond

Kill 50 Zombies (⭐⭐⭐)
 + 1 Enchanted Book: Depth Strider II

Travel 5km with a Boat (⭐⭐⭐)
 + 1 Iron Chestplate: Protection IV

Fish 2 items (⭐)
 + 8 Flint

Harvest 32 Sweet Berries (⭐)
 + 16 Coal
 + 1 Iron Shovel

Enchant a Diamond Helmet with Aqua Affinity (⭐⭐⭐)
 + 1 Diamond Boots

Level up 45 times (⭐⭐⭐⭐)
 + 2 Enchanted Golden Apple

Chop 96 Logs (⭐)
 + 8 Iron Ingot
 + 1 Iron Pickaxe
 + 1 Iron Hoe

Find a Village (⭐⭐⭐)
 + 64 Arrow

Mine 48 Copper Ore (⭐)
 + 2 Emerald

Harvest 12 Chorus Flowers (⭐⭐⭐⭐⭐)
 + 1 Enchanted Book: Bane Of Arthropods V
 + 1 Enchanted Book: Punch II
 + 1 Iron Pickaxe: Silk Touch

Level up 35 times (⭐⭐⭐)
 + 1 Iron Shovel: Mending
 + 1 Jukebox

Harvest 48 Beetroots (⭐⭐)
 + 20 Iron Ingot

Fish 12 Salmon (⭐⭐)
 + 1 Enchanted Book: Feather Falling III

Harvest 16 Carrots (⭐)
 + 1 Fishing Rod
 + 1 Potion: Speed +

Kill 50 Zombies (⭐⭐⭐)
 + 1 Bow: Power IV
 + 1 Music Disc Chirp

Mine 64 Redstone Ore (⭐⭐⭐)
 + 1 Diamond Axe
 + 1 Chainmail Boots: Fire Protection I

Enchant 8 Books (⭐⭐)
 + 1 Iron Sword: Looting I

Mine 32 Nether Gold Ore (⭐⭐⭐)
 + 1 Iron Helmet: Unbreaking II

Run 15km (⭐⭐⭐⭐⭐)
 + 192 Arrow
 + 1 Netherite Sword

Mine 32 Nether Quartz Ore (⭐⭐⭐)
 + 1 Chainmail Helmet: Respiration II

Break 2 Amethyst Clusters (⭐⭐)
 + 32 Arrow

Kill 50 Sheep (⭐⭐)
 + 1 Diamond Axe: Unbreaking I

Mine 16 Gold Ore (⭐)
 + 1 Emerald

Chop 64 Logs (⭐)
 + 8 Iron Ingot

Fish 28 Cod (⭐⭐)
 + 1 Iron Leggings: Thorns I

Mine 48 Coal Ore (⭐)
 + 4 Golden Carrot

Harvest 40 Brown Mushrooms (⭐⭐)
 + 32 Arrow

Mine 32 Iron Ore (⭐)
 + 1 Iron Boots
 + 1 Iron Axe
 + 1 Iron Shovel

Chop 64 Logs (⭐)
 + 1 Iron Chestplate

Mine 32 Gold Ore (⭐⭐)
 + 1 Diamond Shovel

Harvest 16 Brown Mushrooms (⭐⭐)
 + 40 Coal

Harvest 48 Cacti (⭐⭐)
 + 32 Iron Ingot

Kill 50 Cows (⭐⭐)
 + 1 Enchanted Book: Aqua Affinity

Chop 96 Logs (⭐)
 + 4 Gold Ingot
 + 1 Iron Pickaxe

Travel 6km with a Boat (⭐⭐⭐)
 + 1 Netherite Ingot

Harvest 16 Cacti (⭐)
 + 8 Iron Ingot

Harvest 16 Cacti (⭐)
 + 6 Potion: Speed

Run 5km (⭐⭐⭐)
 + 1 Diamond Helmet
 + 6 Potion: Fire Resistance

Mine 48 Iron Ore (⭐)
 + 4 Potion: Strength

Chop 64 Logs (⭐)
 + 1 Crossbow

Kill 12 Endermen (⭐⭐⭐⭐)
 + 1 Netherite Sword: Sweeping II

Kill 10 Pigs (⭐)
 + 1 Emerald

Swim 800m (⭐⭐)
 + 6 Splash Potion: Fire Resistance

Enchant a Diamond Helmet with Unbreaking II+ (⭐⭐⭐)
 + 44 Gold Ingot
 + 1 Fishing Rod: Lure III

Enchant 5 Books (⭐⭐)
 + 28 Iron Ingot

Mine 48 Gold Ore (⭐⭐)
 + 1 Iron Sword: Unbreaking I

Kill 6 Wither Skeletons (⭐⭐⭐⭐)
 + 1 Enchanted Book: Sharpness V
 + 1 Diamond Axe

Enchant 7 Books (⭐⭐)
 + 1 Music Disc Chirp

Chop 64 Logs (⭐)
 + 1 Splash Potion: Water Breathing

Harvest 64 Sugar Cane (⭐⭐)
 + 16 Gold Ingot

Run 15km (⭐⭐⭐⭐⭐)
 + 1 Netherite Leggings: Protection IV

Trade with a Weaponsmith 10 times (⭐⭐⭐)
 + 1 Enchanted Book: Fire Aspect II

Mine 192 Coal Ore (⭐⭐)
 + 32 Arrow

Mine 112 Iron Ore (⭐⭐)
 + 1 Diamond Sword

Trade with a Librarian 14 times (⭐⭐⭐⭐)
 + 1 Netherite Pickaxe: Unbreaking III

Kill 70 Zombies (⭐⭐⭐)
 + 48 Gold Ingot

Mine 48 Copper Ore (⭐)
 + 3 Splash Potion: Speed II

Kill 3 Magma Cubes (⭐⭐⭐)
 + 6 Diamond

Mine 24 Gold Ore (⭐⭐)
 + 1 Iron Pickaxe: Efficiency II

Kill 10 Squids (⭐⭐)
 + 20 Iron Ingot

Trade with a Shepherd 10 times (⭐⭐⭐)
 + 1 Enchanted Book: Sharpness V

Mine 40 Lapis Ore (⭐⭐⭐⭐)
 + 1 Enchanted Book: Mending
 + 1 Enchanted Book: Respiration III

Chop 128 Logs (⭐)
 + 2 Potion: Water Breathing

Enchant a Diamond Helmet with Projectile Protection II+ (⭐⭐⭐)
 + 1 Enchanted Golden Apple

Level up 40 times (⭐⭐⭐)
 + 1 Enchanted Book: Thorns III
 + 96 Coal

Find a Village (⭐⭐⭐)
 + 12 Sponge

Enchant 7 Books (⭐⭐)
 + 1 Enchanted Book: Feather Falling III

Chop 96 Acacia Logs (⭐⭐)
 + 12 Gold Ingot

Enchant a Fishing Rod with Lure II+ (⭐⭐)
 + 28 Golden Carrot

Trade with a Butcher 12 times (⭐⭐⭐⭐)
 + 6 Potion: Regeneration II
 + 1 Chainmail Helmet: Thorns II

Kill 10 Cows (⭐)
 + 1 Iron Axe: Unbreaking II
 + 1 Iron Pickaxe
 + 1 Iron Shovel

Enchant a Bow with Flame (⭐⭐)
 + 1 Enchanted Book: Smite III

Enchant 8 Books (⭐⭐)
 + 1 Enchanted Book: Lure III

Kill 36 Blazes (⭐⭐⭐⭐⭐)
 + 192 Arrow
 + 1 Netherite Sword
 + 48 Cooked Chicken
 + 1 Enchanted Book: Aqua Affinity

Mine 88 Gold Ore (⭐⭐⭐)
 + 6 Potion: Regeneration +

Run 12,5km (⭐⭐⭐⭐⭐)
 + 192 Arrow

Kill 24 Piglins (⭐⭐⭐⭐)
 + 1 Netherite Shovel: Efficiency II

Mine 16 Redstone Ore (⭐⭐)
 + 12 Gold Ingot

Mine 224 Coal Ore (⭐⭐)
 + 1 Iron Axe: Fortune II

Kill 70 Zombies (⭐⭐⭐)
 + 1 Chainmail Leggings: Projectile Protection III

Enchant 2 Books (⭐)
 + 1 Splash Potion: Regeneration II

Chop 96 Acacia Logs (⭐⭐)
 + 1 Chainmail Helmet: Unbreaking II

Mine 16 Redstone Ore (⭐⭐)
 + 1 Chainmail Leggings: Projectile Protection I
 + 1 Iron Pickaxe
 + 1 Iron Sword

Trade with a Villager 6 times (⭐⭐)
 + 4 Ender Pearl

Kill 70 Skeletons (⭐⭐⭐⭐)
 + 1 Netherite Sword

Chop 64 Birch Logs (⭐⭐)
 + 2 Splash Potion: Regeneration II

Harvest 32 Potatoes (⭐)
 + 6 Honey Bottle

Mine 48 Copper Ore (⭐)
 + 1 Diamond
 + 1 Iron Helmet
 + 1 Iron Pickaxe

Chop 160 Logs (⭐⭐)
 + 3 Splash Potion: Night Vision +

Break 4 Amethyst Clusters (⭐⭐)
 + 4 Slime Ball
 + 8 Firework Rocket

Fish 8 Salmon (⭐)
 + 1 Iron Chestplate
 + 4 Gold Ingot
 + 1 Iron Sword

Mine 48 Coal Ore (⭐)
 + 16 Coal

Enchant a Bow (⭐)
 + 1 Iron Helmet

Enchant a Diamond Axe with Efficiency III+ (⭐⭐⭐)
 + 3 Diamond
 + 6 Chorus Fruit

Harvest 48 Sugar Cane (⭐⭐)
 + 4 Glow Ink Sac

Harvest 64 Sugar Cane (⭐⭐)
 + 1 Chainmail Leggings: Thorns I

Harvest 112 Wheat (⭐)
 + 8 Gold Ingot

Kill 10 Sheep (⭐)
 + 5 Chorus Fruit

Level up 40 times (⭐⭐⭐)
 + 20 Ender Pearl

Enchant a Fishing Rod with Lure I+ (⭐⭐)
 + 1 Diamond
 + 1 Iron Axe: Unbreaking III

Chop 160 Logs (⭐⭐)
 + 20 Iron Ingot

Ride 100m on a Pig (⭐⭐⭐)
 + 6 Ghast Tear
 + 1 Diamond Hoe: Silk Touch

Harvest 96 Beetroots (⭐⭐)
 + 1 Iron Boots: Feather Falling II

Chop 96 Logs (⭐)
 + 1 Splash Potion: Instant Health II
 + 1 Iron Pickaxe

Mine 128 Coal Ore (⭐⭐)
 + 1 Iron Sword: Knockback I

Harvest 64 Sugar Cane (⭐⭐)
 + 32 Arrow

Harvest 32 Carrots (⭐)
 + 6 Honey Bottle

Enchant 3 Books (⭐)
 + 1 Emerald
 + 1 Iron Chestplate

Harvest 48 Cocoa Beans (⭐⭐)
 + 1 Chainmail Chestplate: Protection II

Harvest 64 Sweet Berries (⭐⭐)
 + 8 Gold Ingot

Harvest 48 Sweet Berries (⭐)
 + 2 Potion: Invisibility +

Find an Ocean Ruin (⭐⭐⭐)
 + 96 Coal

Kill 50 Cows (⭐⭐)
 + 1 Enchanted Book: Blast Protection II

Kill 10 Cows (⭐)
 + 1 Potion: Invisibility

Mine 36 Diamond Ore (⭐⭐⭐⭐⭐)
 + 1 Netherite Helmet: Fire Protection IV

Find a Village (⭐⭐⭐)
 + 1 Enchanted Book: Unbreaking II

Enchant a Diamond Sword with Smite I+ (⭐⭐)
 + 1 Diamond

Enchant 9 Books (⭐⭐)
 + 1 Ancient Debris

Enchant a Fishing Rod with Lure I+ (⭐⭐)
 + 2 Splash Potion: Water Breathing +
 + 1 Iron Pickaxe

Chop 96 Logs (⭐)
 + 2 Splash Potion: Speed
 + 1 Iron Boots

Enchant 8 Books (⭐⭐)
 + 44 Cooked Porkchop

Drive 400m in a Minecart (⭐⭐⭐⭐)
 + 1 Netherite Sword: Bane Of Arthropods III
 + 48 Cooked Mutton

Mine 56 Gold Ore (⭐⭐)
 + 3 Ghast Tear

Chop 64 Logs (⭐)
 + 1 Chainmail Chestplate
 + 1 Iron Axe

Enchant a Diamond Pickaxe (⭐)
 + 1 Diamond Shovel

Mine 72 Gold Ore (⭐⭐)
 + 1 Iron Pickaxe: Efficiency II

Kill 80 Spiders (⭐⭐⭐)
 + 1 Enchanted Book: Projectile Protection IV

Trade with a Leatherworker 14 times (⭐⭐⭐⭐)
 + 9 Diamond

Kill 70 Drowned (⭐⭐⭐⭐)
 + 1 Diamond Sword: Sharpness III

Find a Shipwreck (⭐⭐⭐)
 + 96 Arrow

Fish 16 Cod (⭐⭐)
 + 2 Emerald

Chop 96 Logs (⭐)
 + 1 Bow
 + 1 Iron Pickaxe

Enchant a Diamond Shovel (⭐)
 + 16 Coal

Kill 9 Ghasts (⭐⭐⭐⭐⭐)
 + 2 Heart Of The Sea
 + 48 Cooked Porkchop

Harvest 48 Wheat (⭐)
 + 1 Iron Helmet

Mine 48 Lapis Ore (⭐⭐⭐⭐)
 + 1 Enchanted Book: Protection IV
 + 1 Diamond Boots

Chop 32 Oak Logs (⭐)
 + 1 Iron Helmet
 + 1 Iron Pickaxe

Mine 112 Coal Ore (⭐⭐)
 + 1 Emerald
 + 1 Iron Leggings
 + 1 Iron Hoe

Harvest 16 Cacti (⭐)
 + 8 Cooked Chicken
 + 1 Iron Helmet

Harvest 32 Sweet Berries (⭐)
 + 1 Iron Axe: Unbreaking III
 + 1 Chainmail Boots
 + 1 Iron Sword

Swim 2,2km (⭐⭐⭐⭐)
 + 96 Iron Ingot

Harvest 96 Beetroots (⭐⭐)
 + 1 Chainmail Leggings: Blast Protection III
 + 1 Diamond Shovel
 + 1 Iron Pickaxe

Harvest 96 Carrots (⭐⭐)
 + 56 Coal

Enchant a Shield (⭐)
 + 8 Coal

Swim 2,1km (⭐⭐⭐⭐)
 + 1 Diamond Sword: Smite III

Mine 32 Gold Ore (⭐⭐)
 + 4 Splash Potion: Instant Health II

Mine 72 Gold Ore (⭐⭐)
 + 56 Iron Ingot

Harvest 32 Pumpkins (⭐⭐)
 + 8 Slime Ball

Kill 3 Pillagers (⭐⭐⭐)
 + 48 Cooked Porkchop
 + 1 Chainmail Boots: Blast Protection II

Level up 45 times (⭐⭐⭐⭐)
 + 160 Arrow

Harvest 48 Wheat (⭐)
 + 1 Saddle
 + 1 Iron Pickaxe
 + 1 Iron Shovel

Chop 160 Logs (⭐⭐)
 + 24 Coal
 + 1 Iron Leggings

Kill 10 Squids (⭐⭐)
 + 2 Emerald

Kill 80 Skeletons (⭐⭐⭐⭐)
 + 96 Iron Ingot
 + 64 Arrow

Mine 80 Iron Ore (⭐⭐)
 + 40 Cooked Chicken

Enchant 6 Books (⭐⭐)
 + 1 Chainmail Chestplate: Projectile Protection III

Chop 192 Logs (⭐⭐)
 + 4 Glow Ink Sac

Kill 20 Piglins (⭐⭐⭐⭐)
 + 1 Diamond Helmet: Mending

Run 2,5km (⭐⭐⭐)
 + 1 Enchanted Book: Power III

Harvest 48 Red Mushrooms (⭐⭐)
 + 6 Splash Potion: Strength +

Chop 96 Logs (⭐)
 + 4 Gold Ingot
 + 1 Iron Pickaxe

Level up 20 times (⭐⭐⭐)
 + 4 Blaze Rod

Trade with a Villager 2 times (⭐)
 + 1 Diamond Shovel

Mine 48 Nether Gold Ore (⭐⭐⭐)
 + 60 Iron Ingot
 + 1 Diamond Hoe

Kill 50 Skeletons (⭐⭐⭐)
 + 36 Golden Carrot

Enchant a Diamond Sword with Bane Of Arthropods IV+ (⭐⭐⭐)
 + 1 Iron Pickaxe: Efficiency III

Break 64 Glowstones (⭐⭐⭐)
 + 96 Iron Ingot

Chop 32 Logs (⭐)
 + 1 Splash Potion: Speed +

Mine 224 Coal Ore (⭐⭐)
 + 1 Chainmail Chestplate: Unbreaking I

Kill 32 Piglins (⭐⭐⭐⭐⭐)
 + 24 Ender Pearl
 + 1 Enchanted Book: Power V

Kill 30 Sheep (⭐⭐)
 + 28 Cooked Beef
 + 1 Iron Pickaxe

Enchant 4 Books (⭐⭐)
 + 1 Chainmail Leggings: Projectile Protection II

Kill 30 Chickens (⭐⭐)
 + 3 Emerald

Chop 160 Logs (⭐⭐)
 + 1 Diamond Shovel

Mine 80 Coal Ore (⭐)
 + 6 Chorus Fruit

Mine 16 Gold Ore (⭐)
 + 5 Potion: Instant Health
 + 1 Iron Pickaxe

Kill 10 Sheep (⭐)
 + 1 Crossbow: Piercing I

Mine 64 Iron Ore (⭐⭐)
 + 6 Honey Bottle
 + 1 Iron Leggings
 + 1 Iron Pickaxe
 + 1 Iron Shovel

Kill 24 Blazes (⭐⭐⭐⭐⭐)
 + 1 Enchanted Book: Efficiency V
 + 1 Bow: Unbreaking III
 + 1 Diamond Sword: Sweeping I

Kill 100 Zombies (⭐⭐⭐)
 + 1 Diamond Chestplate

Mine 24 Gold Ore (⭐⭐)
 + 6 Honey Bottle
 + 1 Iron Pickaxe

Harvest 16 Wheat (⭐)
 + 8 Flint

Harvest 32 Sugar Cane (⭐)
 + 1 Enchanted Book: Luck Of The Sea I
 + 1 Iron Helmet

Kill 110 Zombies (⭐⭐⭐⭐)
 + 8 Diamond

Kill 16 Cave Spiders (⭐⭐⭐⭐)
 + 1 Netherite Shovel

Enchant 5 Books (⭐⭐)
 + 1 Music Disc Blocks

Enchant 5 Books (⭐⭐)
 + 4 Slime Ball

Mine 144 Iron Ore (⭐⭐)
 + 1 Fishing Rod: Lure III

Enchant a Diamond Shovel with Silk Touch (⭐⭐⭐)
 + 1 Enchanted Book: Feather Falling III

Kill 50 Spiders (⭐⭐⭐)
 + 36 Golden Carrot

Mine 96 Nether Quartz Ore (⭐⭐⭐⭐)
 + 1 Diamond Boots: Feather Falling IV

Kill 40 Sheep (⭐⭐)
 + 16 Firework Rocket
 + 1 Iron Axe: Unbreaking III

Level up 15 times (⭐⭐)
 + 1 Enchanted Book: Unbreaking I

Mine 12 Diamond Ore (⭐⭐⭐)
 + 1 Chainmail Chestplate: Mending

Kill 8 Wither Skeletons (⭐⭐⭐⭐⭐)
 + 1 Enchanted Book: Efficiency V
 + 1 Enchanted Book: Respiration III
 + 6 Splash Potion: Fire Resistance

Harvest 80 Sugar Cane (⭐⭐)
 + 1 Enchanted Book: Feather Falling IV
 + 1 Diamond Shovel

Harvest 72 Melon Slices (⭐⭐)
 + 1 Diamond Pickaxe

Kill 60 Skeletons (⭐⭐⭐)
 + 1 Diamond Sword: Looting II

Mine 144 Coal Ore (⭐⭐)
 + 1 Chainmail Helmet: Thorns I

Enchant 2 Books (⭐)
 + 4 Golden Carrot
 + 1 Iron Pickaxe

Swim 2,3km (⭐⭐⭐⭐)
 + 160 Arrow

Enchant a Shield (⭐)
 + 1 Chainmail Leggings

Harvest 32 Kelp (⭐)
 + 2 Chorus Fruit

Kill 70 Spiders (⭐⭐⭐)
 + 1 Enchanted Book: Efficiency IV

Enchant a Diamond Axe with Unbreaking I+ (⭐⭐)
 + 1 Chainmail Leggings: Blast Protection III

Chop 224 Logs (⭐⭐)
 + 1 Enchanted Book: Efficiency V

Trade with a Farmer 4 times (⭐⭐)
 + 1 Enchanted Book: Bane Of Arthropods III

Chop 160 Logs (⭐⭐)
 + 2 Splash Potion: Fire Resistance

Kill 60 Drowned (⭐⭐⭐)
 + 128 Arrow

Mine 20 Diamond Ore (⭐⭐⭐⭐)
 + 1 Diamond Boots: Thorns III

Harvest 112 Potatoes (⭐⭐)
 + 32 Iron Ingot

Harvest 56 Nether Warts (⭐⭐⭐⭐)
 + 1 Iron Sword: Mending

Fish 2 Salmon (⭐)
 + 1 Potion: Jump Boost +

Mine 48 Nether Gold Ore (⭐⭐⭐)
 + 6 Splash Potion: Fire Resistance +
 + 1 Enchanted Book: Feather Falling II

Enchant a Diamond Axe with Efficiency IV+ (⭐⭐⭐)
 + 1 Diamond Pickaxe: Unbreaking I

Harvest 24 Red Mushrooms (⭐⭐)
 + 1 Iron Pickaxe: Efficiency I

Kill 8 Phantoms (⭐⭐)
 + 28 Gold Ingot

Harvest 16 Sea Pickles (⭐⭐⭐)
 + 6 Diamond

Kill 40 Chickens (⭐⭐)
 + 6 Potion: Water Breathing

Harvest 112 Sugar Cane (⭐⭐)
 + 8 Slime Ball

Harvest 28 Pumpkins (⭐⭐)
 + 44 Iron Ingot

Mine 32 Copper Ore (⭐)
 + 1 Emerald
 + 1 Iron Pickaxe

Kill 8 Blazes (⭐⭐⭐⭐)
 + 1 Diamond Helmet: Unbreaking II

Harvest 48 Carrots (⭐)
 + 1 Iron Helmet
 + 1 Chainmail Leggings

Enchant a Diamond Leggings (⭐⭐)
 + 5 Splash Potion: Jump Boost II
 + 1 Iron Pickaxe

Kill 32 Piglins (⭐⭐⭐⭐⭐)
 + 1 Netherite Axe: Silk Touch
 + 36 Golden Carrot

Harvest 48 Sugar Cane (⭐⭐)
 + 1 Diamond Shovel

Kill 110 Spiders (⭐⭐⭐⭐)
 + 1 Enchanted Book: Fortune III
 + 6 Chorus Fruit

Kill 2 Wither Skeletons (⭐⭐⭐)
 + 1 Enchanted Book: Punch II
 + 6 Potion: Water Breathing
 + 1 Crossbow

Chop 96 Birch Logs (⭐⭐)
 + 2 Ghast Tear

Mine 16 Diamond Ore (⭐⭐⭐⭐)
 + 12 Blaze Rod

Enchant a Diamond Axe with Sharpness I+ (⭐⭐⭐)
 + 6 Splash Potion: Fire Resistance +
 + 1 Chainmail Chestplate: Unbreaking I

Kill 18 Endermen (⭐⭐⭐⭐⭐)
 + 1 Netherite Sword: Smite IV
 + 36 Golden Carrot

Chop 64 Logs (⭐)
 + 1 Emerald
 + 1 Potion: Strength +

Catch 16 fish (⭐⭐)
 + 1 Diamond
 + 1 Iron Helmet

Mine 144 Iron Ore (⭐⭐)
 + 1 Enchanted Book: Knockback II

Kill 110 Skeletons (⭐⭐⭐⭐)
 + 1 Bow: Infinity
 + 96 Coal

Chop 160 Logs (⭐⭐)
 + 20 Iron Ingot

Harvest 16 Cocoa Beans (⭐)
 + 1 Emerald
 + 5 Potion: Speed

Kill 70 Spiders (⭐⭐⭐)
 + 64 Arrow
 + 1 Enchanted Book: Lure III

Mine 48 Iron Ore (⭐)
