Material counts for Quest Type:
TotalQuests: 2000

Quest Type: FIND_STRUCTURE
- OCEAN_RUIN           count: 6             4,76 %    (5,94 % expected)
Chop 32 Oak Logs (⭐)
 + 1 Emerald

Catch 8 fish (⭐)
 + 1 Iron Leggings
 + 1 Iron Hoe

Travel 7km with a Boat (⭐⭐⭐)
 + 1 Chainmail Chestplate: Unbreaking II
 + 6 Splash Potion: Speed II

Swim 1,7km (⭐⭐⭐)
 + 1 Enchanted Book: Punch II
 + 6 Potion: Strength
 + 6 Honey Bottle
 + 1 Iron Leggings

Reach level 45 (⭐⭐⭐⭐)
 + 1 Trident: Loyalty II

Catch 4 fish (⭐)
 + 1 Iron Leggings

Fish 24 Cod (⭐⭐)
 + 1 Enchanted Book: Feather Falling III

Trade with a Cartographer 10 times (⭐⭐⭐⭐)
 + 1 Diamond Helmet
 + 1 Chainmail Chestplate: Unbreaking II

Find a Bastion Remnant (⭐⭐⭐⭐)
 + 24 Ender Pearl

Chop 128 Logs (⭐)
 + 6 Honey Bottle
 + 1 Iron Pickaxe

Chop 96 Oak Logs (⭐⭐)
 + 28 Iron Ingot

Enchant a Diamond Chestplate (⭐⭐)
 + 44 Copper Ingot

Enchant a Bow (⭐)
 + 1 Emerald

Enchant 3 Books (⭐)
 + 1 Emerald
 + 1 Iron Hoe

Enchant a Fishing Rod with Lure II+ (⭐⭐)
 + 1 Enchanted Book: Unbreaking III
 + 6 Splash Potion: Jump Boost

Find an Igloo (⭐⭐⭐⭐)
 + 1 Netherite Shovel

Harvest 96 Wheat (⭐)
 + 1 Emerald
 + 2 Potion: Jump Boost +

Catch 16 fish (⭐⭐)
 + 3 Potion: Water Breathing
 + 1 Iron Helmet

Harvest 2 Chorus Flowers (⭐⭐⭐)
 + 1 Iron Leggings: Unbreaking III
 + 1 Chainmail Helmet: Respiration I

Enchant a Diamond Axe (⭐)
 + 4 Book

Mine 144 Iron Ore (⭐⭐)
 + 1 Iron Helmet: Respiration II

Chop 224 Logs (⭐⭐)
 + 1 Iron Sword: Knockback I

Kill 50 Chickens (⭐⭐)
 + 1 Chainmail Helmet: Protection II

Kill 70 Creepers (⭐⭐⭐⭐)
 + 128 Arrow

Trade with a Cleric 6 times (⭐⭐⭐)
 + 96 Copper Ingot

Kill 40 Chickens (⭐⭐)
 + 88 Coal

Harvest 16 Carrots (⭐)
 + 4 Book

Level up 40 times (⭐⭐⭐)
 + 7 Diamond
 + 1 Jukebox

Find a Village (⭐⭐⭐)
 + 1 Chainmail Boots: Protection III

Mine 112 Coal Ore (⭐⭐)
 + 3 Splash Potion: Jump Boost +

Level up 35 times (⭐⭐⭐)
 + 1 Enchanted Book: Sharpness V

Mine 48 Coal Ore (⭐)
 + 1 Enchanted Book: Lure I

Harvest 16 Wheat (⭐)
 + 4 Iron Ingot

Mine 48 Iron Ore (⭐)
 + 1 Diamond
 + 1 Splash Potion: Water Breathing +

Kill 110 Drowned (⭐⭐⭐⭐)
 + 1 Diamond Sword: Sharpness III
 + 6 Splash Potion: Fire Resistance
 + 1 Fishing Rod: Lure III

Trade with a Toolsmith 8 times (⭐⭐⭐)
 + 48 Quartz

Level up 45 times (⭐⭐⭐⭐)
 + 160 Arrow

Find a Village (⭐⭐⭐)
 + 6 Ghast Tear

Trade with a Villager 2 times (⭐)
 + 1 Bow
 + 1 Chainmail Leggings
 + 1 Iron Sword

Kill 40 Zombies (⭐⭐)
 + 1 Enchanted Book: Silk Touch

Mine 64 Iron Ore (⭐⭐)
 + 1 Enchanted Book: Protection III

Mine 56 Gold Ore (⭐⭐)
 + 48 Cooked Mutton

Mine 80 Iron Ore (⭐⭐)
 + 8 Book

Mine 16 Redstone Ore (⭐⭐)
 + 1 Diamond

Harvest 48 Wheat (⭐)
 + 8 Copper Ingot

Mine 80 Iron Ore (⭐⭐)
 + 1 Iron Sword: Sharpness III
 + 6 Potion: Speed

Mine 144 Iron Ore (⭐⭐)
 + 4 Ender Pearl
 + 1 Diamond Shovel

Find a Village (⭐⭐⭐)
 + 4 Diamond

Chop 64 Logs (⭐)
 + 4 Gold Ingot

Level up 40 times (⭐⭐⭐)
 + 96 Iron Ingot

Find a Shipwreck (⭐⭐⭐)
 + 24 Book

Harvest 16 Cacti (⭐)
 + 4 Golden Carrot

Mine 16 Nether Quartz Ore (⭐⭐)
 + 44 Cooked Beef

Reach level 40 (⭐⭐⭐⭐)
 + 1 Enchanted Book: Thorns III
 + 1 Music Disc 11

Chop 160 Logs (⭐⭐)
 + 1 Diamond Shovel

Mine 12 Diamond Ore (⭐⭐⭐)
 + 7 Amethyst Shard
 + 3 Saddle

Kill 10 Cows (⭐)
 + 1 Iron Leggings

Ride 400m on a Strider (⭐⭐⭐⭐⭐)
 + 1 Netherite Shovel
 + 1 Diamond Helmet: Protection II
 + 3 Potion: Night Vision +

Catch 16 fish (⭐⭐)
 + 4 Ender Pearl

Mine 48 Coal Ore (⭐)
 + 1 Iron Chestplate

Chop 160 Logs (⭐⭐)
 + 1 Iron Chestplate
 + 1 Crossbow
 + 1 Iron Shovel

Enchant 7 Books (⭐⭐)
 + 5 Splash Potion: Strength II

Mine 32 Redstone Ore (⭐⭐)
 + 1 Diamond Pickaxe

Mine 24 Gold Ore (⭐⭐)
 + 8 Gold Ingot

Level up 20 times (⭐⭐⭐)
 + 7 Emerald
 + 1 Fishing Rod

Reach level 35 (⭐⭐⭐)
 + 1 Enchanted Book: Bane Of Arthropods IV

Kill 30 Sheep (⭐⭐)
 + 1 Chainmail Boots: Feather Falling I

Mine 48 Gold Ore (⭐⭐)
 + 2 Diamond

Chop 128 Logs (⭐)
 + 20 Cooked Chicken

Find an Igloo (⭐⭐⭐⭐)
 + 48 Quartz

Mine 8 Ancient Debris (⭐⭐⭐⭐⭐)
 + 35 Emerald

Fish 2 Salmon (⭐)
 + 1 Iron Pickaxe
 + 1 Chainmail Boots

Trade with a Villager 2 times (⭐)
 + 4 Gold Ingot
 + 1 Iron Boots
 + 1 Iron Pickaxe

Kill 4 Endermen (⭐⭐⭐)
 + 1 Diamond Sword: Looting I

Level up 25 times (⭐⭐⭐)
 + 1 Enchanted Book: Frost Walker II

Kill 30 Chickens (⭐⭐)
 + 1 Chainmail Helmet: Protection II

Level up 30 times (⭐⭐⭐)
 + 1 Enchanted Book: Sharpness IV

Find an End City (⭐⭐⭐⭐⭐)
 + 1 Netherite Helmet: Mending

Kill 30 Sheep (⭐⭐)
 + 6 Potion: Jump Boost +

Trade with a Villager 4 times (⭐⭐)
 + 4 Sponge
 + 1 Iron Pickaxe

Chop 96 Logs (⭐)
 + 1 Splash Potion: Strength
 + 1 Iron Helmet

Kill 60 Creepers (⭐⭐⭐)
 + 1 Enchanted Book: Sharpness V

Swim 1,9km (⭐⭐⭐)
 + 7 Diamond

Kill 50 Cows (⭐⭐)
 + 2 Sea Lantern

Kill 10 Pigs (⭐)
 + 1 Crossbow
 + 1 Iron Pickaxe

Harvest 32 Potatoes (⭐)
 + 1 Bow
 + 1 Fishing Rod

Kill 110 Zombies (⭐⭐⭐⭐)
 + 1 Diamond Chestplate

Harvest 112 Carrots (⭐⭐)
 + 1 Diamond

Enchant 5 Books (⭐⭐)
 + 12 Golden Carrot
 + 1 Iron Boots

Kill 1 Zombie Villager (⭐⭐)
 + 32 Arrow
 + 1 Iron Chestplate

Mine 28 Diamond Ore (⭐⭐⭐⭐)
 + 24 Slime Ball
 + 48 Cooked Porkchop

Mine 64 Gold Ore (⭐⭐)
 + 48 Cooked Beef

Mine 64 Redstone Ore (⭐⭐⭐)
 + 4 Blaze Rod
 + 48 Cooked Chicken

Chop 32 Logs (⭐)
 + 1 Potion: Speed II
 + 1 Iron Shovel

Kill 50 Cows (⭐⭐)
 + 56 Iron Ingot

Kill 70 Zombies (⭐⭐⭐)
 + 5 Diamond

Kill 80 Drowned (⭐⭐⭐⭐)
 + 1 Netherite Shovel

Mine 48 Copper Ore (⭐)
 + 1 Diamond Shovel

Reach level 25 (⭐⭐)
 + 48 Copper Ingot

Trade with a Leatherworker 10 times (⭐⭐⭐)
 + 1 Enchanted Book: Punch II
 + 1 Fishing Rod: Lure III

Reach level 30 (⭐⭐⭐)
 + 36 Gold Ingot

Kill 32 Blazes (⭐⭐⭐⭐⭐)
 + 1 Netherite Sword: Looting III
 + 192 Arrow

Kill 40 Cows (⭐⭐)
 + 2 Diamond
 + 1 Iron Pickaxe

Kill 20 Chickens (⭐⭐)
 + 1 Iron Pickaxe: Efficiency III

Level up 15 times (⭐⭐)
 + 1 Enchanted Book: Protection II

Harvest 96 Carrots (⭐⭐)
 + 1 Enchanted Book: Bane Of Arthropods V

Mine 80 Gold Ore (⭐⭐)
 + 1 Iron Sword: Fire Aspect I

Find a Ruined Portal (⭐⭐⭐)
 + 48 Cooked Porkchop

Level up 10 times (⭐⭐)
 + 36 Iron Ingot

Mine 208 Coal Ore (⭐⭐)
 + 1 Enchanted Book: Sweeping I

Kill 36 Blazes (⭐⭐⭐⭐⭐)
 + 1 Netherite Shovel
 + 96 Copper Ingot
 + 1 Enchanted Book: Sweeping III
 + 1 Iron Sword: Sharpness IV

Mine 32 Copper Ore (⭐)
 + 3 Potion: Speed II
 + 1 Iron Pickaxe

Ride 800m on a Pig (⭐⭐⭐⭐)
 + 1 Diamond Boots: Unbreaking III

Chop 64 Oak Logs (⭐⭐)
 + 20 Copper Ingot

Trade with a Farmer 14 times (⭐⭐⭐)
 + 96 Copper Ingot

Mine 16 Copper Ore (⭐)
 + 1 Emerald

Harvest 96 Beetroots (⭐⭐)
 + 1 Iron Pickaxe: Efficiency III

Mine 32 Copper Ore (⭐)
 + 1 Splash Potion: Strength
 + 1 Iron Pickaxe
 + 1 Iron Sword
 + 1 Iron Shovel

Mine 8 Lapis Ore (⭐⭐)
 + 1 Bow: Power II

Mine 144 Iron Ore (⭐⭐)
 + 6 Splash Potion: Instant Health II

Mine 88 Gold Ore (⭐⭐⭐)
 + 8 Slime Ball

Mine 32 Diamond Ore (⭐⭐⭐⭐)
 + 1 Netherite Sword: Fire Aspect II

Mine 32 Iron Ore (⭐)
 + 1 Emerald
 + 1 Iron Sword

Harvest 80 Beetroots (⭐⭐)
 + 6 Potion: Strength

Mine 3 Emerald Ore (⭐⭐⭐)
 + 1 Enchanted Book: Fire Aspect II

Kill 2 Squids (⭐)
 + 4 Iron Ingot

Find a Jungle Pyramid (⭐⭐⭐⭐⭐)
 + 1 Netherite Hoe: Fortune III
 + 1 Enchanted Book: Unbreaking III

Chop 128 Logs (⭐)
 + 16 Copper Ingot

Chop 128 Logs (⭐)
 + 1 Diamond Shovel

Harvest 16 Red Mushrooms (⭐⭐)
 + 48 Coal

Mine 16 Gold Ore (⭐)
 + 1 Potion: Water Breathing
 + 1 Crossbow

Enchant a Diamond Pickaxe (⭐)
 + 4 Gold Ingot
 + 1 Iron Hoe

Ride 3km on a Horse (⭐⭐⭐⭐)
 + 1 Diamond Helmet: Respiration III

Drive 1,2km in a Minecart (⭐⭐⭐⭐)
 + 1 Netherite Helmet: Unbreaking III

Chop 96 Logs (⭐)
 + 1 Splash Potion: Slow Falling
 + 1 Iron Helmet

Mine 80 Coal Ore (⭐)
 + 12 Cooked Porkchop
 + 1 Iron Pickaxe

Kill 10 Cows (⭐)
 + 1 Iron Helmet
 + 4 Copper Ingot

Ride 2km on a Horse (⭐⭐⭐⭐)
 + 1 Netherite Sword

Find a Shipwreck (⭐⭐⭐)
 + 1 Enchanted Book: Blast Protection IV
 + 6 Chorus Fruit

Find a Desert Pyramid (⭐⭐⭐)
 + 1 Diamond Pickaxe: Silk Touch

Fish 8 Cod (⭐)
 + 1 Spyglass
 + 1 Iron Shovel

Chop 32 Oak Logs (⭐)
 + 4 Golden Carrot
 + 1 Iron Helmet

Reach level 45 (⭐⭐⭐⭐)
 + 96 Iron Ingot
 + 5 Diamond
 + 3 Splash Potion: Night Vision +
 + 1 Iron Leggings

Harvest 80 Sugar Cane (⭐⭐)
 + 2 Diamond

Level up 40 times (⭐⭐⭐)
 + 12 Emerald
 + 6 Splash Potion: Strength

Find a Nether Fortress (⭐⭐⭐⭐)
 + 6 Splash Potion: Regeneration II
 + 6 Splash Potion: Speed +

Enchant a Diamond Sword (⭐)
 + 4 Book
 + 1 Bow
 + 1 Iron Shovel

Mine 72 Gold Ore (⭐⭐)
 + 1 Diamond Sword
 + 1 Bow

Mine 112 Nether Gold Ore (⭐⭐⭐⭐)
 + 1 Enchanted Book: Looting III

Harvest 12 Pumpkins (⭐)
 + 40 Coal

Chop 32 Logs (⭐)
 + 1 Chainmail Chestplate

Harvest 16 Cacti (⭐)
 + 1 Enchanted Book: Lure III

Enchant a Crossbow with Unbreaking I+ (⭐)
 + 3 Potion: Fire Resistance

Mine 12 Ancient Debris (⭐⭐⭐⭐⭐)
 + 1 Enchanted Book: Power V
 + 1 Enchanted Book: Fire Protection IV
 + 96 Coal
 + 1 Bow

Reach level 45 (⭐⭐⭐⭐)
 + 192 Arrow

Harvest 64 Sugar Cane (⭐⭐)
 + 1 Diamond Shovel
 + 1 Chainmail Helmet

Level up 40 times (⭐⭐⭐)
 + 24 Slime Ball

Harvest 16 Cacti (⭐)
 + 1 Iron Leggings

Mine 12 Ancient Debris (⭐⭐⭐⭐⭐)
 + 1 Netherite Sword: Sweeping II
 + 1 Crossbow: Unbreaking III

Harvest 64 Sugar Cane (⭐⭐)
 + 1 Iron Sword: Smite II

Level up 35 times (⭐⭐⭐)
 + 96 Iron Ingot
 + 1 Music Disc 13

Level up 45 times (⭐⭐⭐⭐)
 + 12 Blaze Rod

Kill 60 Creepers (⭐⭐⭐)
 + 48 Quartz

Chop 192 Logs (⭐⭐)
 + 1 Chainmail Boots: Soul Speed I

Harvest 32 Wheat (⭐)
 + 1 Crossbow: Piercing III

Mine 160 Coal Ore (⭐⭐)
 + 24 Copper Ingot
 + 1 Iron Leggings

Catch 8 fish (⭐)
 + 8 Copper Ingot
 + 1 Iron Pickaxe

Mine 48 Redstone Ore (⭐⭐⭐)
 + 36 Gold Ingot

Trade with a Cleric 6 times (⭐⭐⭐)
 + 6 Diamond

Harvest 32 Wheat (⭐)
 + 3 Honey Bottle

Kill 100 Zombies (⭐⭐⭐)
 + 128 Arrow

Find a Village (⭐⭐⭐)
 + 1 Iron Leggings: Thorns II

Harvest 32 Beetroots (⭐)
 + 1 Fishing Rod: Lure I

Enchant a Diamond Sword with Bane Of Arthropods II+ (⭐⭐)
 + 1 Chainmail Leggings: Protection III

Harvest 112 Sweet Berries (⭐⭐)
 + 1 Iron Sword: Sharpness IV
 + 1 Compass
 + 1 Iron Pickaxe

Level up 20 times (⭐⭐⭐)
 + 24 Book

Mine 112 Coal Ore (⭐⭐)
 + 6 Potion: Speed
 + 1 Chainmail Chestplate

Mine 80 Gold Ore (⭐⭐)
 + 1 Enchanted Book: Power IV

Fish a treasure (⭐⭐)
 + 6 Splash Potion: Speed

Mine 32 Copper Ore (⭐)
 + 1 Fishing Rod: Lure II

Chop 32 Logs (⭐)
 + 1 Potion: Slow Falling

Kill 20 Endermen (⭐⭐⭐⭐⭐)
 + 40 Emerald

Kill 50 Sheep (⭐⭐)
 + 56 Iron Ingot

Kill 16 Blazes (⭐⭐⭐⭐)
 + 48 Quartz
 + 1 Diamond Pickaxe: Fortune I

Chop 32 Logs (⭐)
 + 1 Potion: Strength +

Break 48 Glowstones (⭐⭐⭐)
 + 5 Diamond

Harvest 96 Carrots (⭐⭐)
 + 1 Enchanted Book: Sharpness I
 + 1 Iron Sword

Ride 10km on a Horse (⭐⭐⭐⭐⭐)
 + 2 Wither Skeleton Skull
 + 24 Slime Ball

Travel 7km with a Boat (⭐⭐⭐)
 + 1 Iron Sword: Sharpness IV
 + 96 Coal

Enchant 2 Books (⭐)
 + 1 Iron Helmet
 + 1 Chainmail Boots

Mine 48 Copper Ore (⭐)
 + 8 Quartz

Harvest 32 Cocoa Beans (⭐⭐)
 + 1 Ancient Debris

Chop 32 Spruce Logs (⭐)
 + 4 Golden Carrot
 + 1 Iron Boots

Chop 128 Logs (⭐)
 + 8 Iron Ingot
 + 1 Iron Leggings

Mine 96 Iron Ore (⭐⭐)
 + 1 Iron Pickaxe: Efficiency IV
 + 6 Chorus Fruit

Trade with a Villager 4 times (⭐⭐)
 + 1 Chainmail Leggings: Protection II

Kill 110 Skeletons (⭐⭐⭐⭐)
 + 13 Diamond

Harvest 40 Melon Slices (⭐⭐)
 + 8 Book

Harvest 28 Pumpkins (⭐⭐)
 + 1 Iron Helmet: Respiration II

Chop 32 Logs (⭐)
 + 1 Chainmail Leggings

Trade with a Cartographer 10 times (⭐⭐⭐⭐)
 + 1 Diamond Pickaxe: Efficiency II
 + 24 Firework Rocket

Chop 128 Logs (⭐)
 + 12 Iron Ingot
 + 1 Iron Hoe

Find a Village (⭐⭐⭐)
 + 1 Iron Sword: Unbreaking II

Kill 26 Endermen (⭐⭐⭐⭐⭐)
 + 1 Netherite Boots: Unbreaking III
 + 1 Enchanted Book: Quick Charge III

Enchant a Fishing Rod (⭐)
 + 1 Iron Boots

Reach level 25 (⭐⭐)
 + 16 Book

Kill 40 Sheep (⭐⭐)
 + 4 Emerald

Kill 10 Squids (⭐⭐)
 + 2 Emerald

Chop 160 Logs (⭐⭐)
 + 2 Splash Potion: Water Breathing +

Mine 24 Diamond Ore (⭐⭐⭐⭐)
 + 96 Iron Ingot
 + 1 Iron Pickaxe: Silk Touch
 + 6 Potion: Jump Boost II

Mine 32 Gold Ore (⭐⭐)
 + 1 Enchanted Book: Depth Strider I
 + 1 Iron Leggings

Kill 9 Magma Cubes (⭐⭐⭐⭐)
 + 1 Enchanted Book: Unbreaking III
 + 1 Iron Sword: Unbreaking II

Kill 16 Endermen (⭐⭐⭐⭐)
 + 24 Slime Ball
 + 96 Copper Ingot

Enchant a Diamond Boots with Feather Falling I+ (⭐⭐)
 + 32 Arrow

Chop 32 Logs (⭐)
 + 1 Chainmail Helmet

Mine 80 Iron Ore (⭐⭐)
 + 1 Iron Pickaxe: Efficiency II

Harvest 96 Potatoes (⭐⭐)
 + 4 Sponge
 + 1 Amethyst Shard

Harvest 16 Potatoes (⭐)
 + 1 Iron Pickaxe

Mine 144 Coal Ore (⭐⭐)
 + 1 Enchanted Book: Smite V

Chop 32 Logs (⭐)
 + 4 Book

Harvest 40 Red Mushrooms (⭐⭐)
 + 96 Coal

Kill 90 Skeletons (⭐⭐⭐⭐)
 + 12 Amethyst Shard

Harvest 56 Brown Mushrooms (⭐⭐⭐)
 + 8 Ender Pearl

Level up 30 times (⭐⭐⭐)
 + 3 Sea Lantern
 + 6 Potion: Fire Resistance

Find an Ocean Ruin (⭐⭐⭐)
 + 48 Flint

Swim 2,6km (⭐⭐⭐⭐)
 + 24 Ender Pearl

Kill 40 Pigs (⭐⭐)
 + 1 Chainmail Leggings: Unbreaking I

Mine 16 Lapis Ore (⭐⭐⭐)
 + 1 Iron Sword: Sweeping II
 + 3 Potion: Night Vision +

Ride 9km on a Horse (⭐⭐⭐⭐⭐)
 + 1 Trident
 + 1 Enchanted Book: Lure III

Kill 40 Chickens (⭐⭐)
 + 1 Diamond Sword

Enchant a Diamond Sword with Bane Of Arthropods III+ (⭐⭐⭐)
 + 1 Enchanted Book: Looting I

Run 5km (⭐⭐⭐)
 + 7 Diamond

Mine 20 Diamond Ore (⭐⭐⭐⭐)
 + 24 Book
 + 6 Splash Potion: Fire Resistance

Kill 40 Spiders (⭐⭐⭐)
 + 3 Diamond

Mine 32 Lapis Ore (⭐⭐⭐)
 + 96 Iron Ingot
 + 6 Potion: Fire Resistance +

Enchant a Diamond Axe (⭐)
 + 1 Ghast Tear

Kill 50 Sheep (⭐⭐)
 + 32 Arrow

Ride 8km on a Horse (⭐⭐⭐⭐⭐)
 + 26 Emerald
 + 36 Golden Carrot
 + 48 Cooked Beef

Chop 32 Birch Logs (⭐)
 + 1 Iron Helmet
 + 1 Chainmail Boots

Mine 8 Diamond Ore (⭐⭐⭐)
 + 1 Iron Leggings: Thorns III

Mine 48 Copper Ore (⭐)
 + 1 Diamond Shovel

Trade with a Villager 14 times (⭐⭐⭐)
 + 9 Emerald

Kill 60 Zombies (⭐⭐⭐)
 + 4 Blaze Rod

Find a Jungle Pyramid (⭐⭐⭐⭐⭐)
 + 3 Enchanted Golden Apple
 + 1 Enchanted Book: Power V

Kill 40 Chickens (⭐⭐)
 + 1 Bundle

Kill 12 Endermen (⭐⭐⭐⭐)
 + 1 Diamond Chestplate
 + 96 Iron Ingot

Kill 24 Endermen (⭐⭐⭐⭐⭐)
 + 1 Netherite Sword
 + 1 Enchanted Book: Looting III

Chop 224 Logs (⭐⭐)
 + 28 Iron Ingot

Kill 14 Endermen (⭐⭐⭐⭐)
 + 2 Heart Of The Sea

Chop 32 Logs (⭐)
 + 1 Potion: Invisibility

Level up 25 times (⭐⭐⭐)
 + 1 Enchanted Book: Blast Protection III

Mine 96 Coal Ore (⭐)
 + 1 Iron Shovel: Efficiency I

Harvest 112 Sugar Cane (⭐⭐)
 + 20 Golden Carrot
 + 3 Saddle

Reach level 20 (⭐⭐)
 + 6 Potion: Jump Boost II

Kill 16 Cave Spiders (⭐⭐⭐⭐)
 + 1 Diamond Helmet: Aqua Affinity

Mine 36 Diamond Ore (⭐⭐⭐⭐⭐)
 + 1 Netherite Sword: Smite III

Mine 176 Coal Ore (⭐⭐)
 + 16 Golden Carrot

Find a Bastion Remnant (⭐⭐⭐⭐)
 + 1 Trident: Unbreaking I

Mine 32 Lapis Ore (⭐⭐⭐)
 + 1 Enchanted Book: Smite V

Enchant 9 Books (⭐⭐)
 + 32 Flint

Kill 30 Chickens (⭐⭐)
 + 32 Arrow

Enchant 4 Books (⭐⭐)
 + 6 Splash Potion: Speed

Harvest 32 Cacti (⭐⭐)
 + 20 Iron Ingot

Enchant a Diamond Sword with Sweeping II+ (⭐⭐⭐)
 + 4 Blaze Rod
 + 1 Music Disc Blocks

Enchant a Crossbow with Unbreaking I+ (⭐)
 + 32 Coal

Kill 40 Spiders (⭐⭐⭐)
 + 64 Arrow

Mine 176 Coal Ore (⭐⭐)
 + 1 Diamond Sword

Harvest 80 Carrots (⭐⭐)
 + 8 Gold Ingot

Kill 110 Drowned (⭐⭐⭐⭐)
 + 192 Arrow
 + 1 Spyglass
 + 1 Crossbow

Harvest 48 Sugar Cane (⭐⭐)
 + 1 Chainmail Leggings: Thorns II

Mine 32 Iron Ore (⭐)
 + 16 Coal
 + 1 Iron Pickaxe

Kill 40 Zombies (⭐⭐)
 + 1 Diamond Sword

Harvest 56 Brown Mushrooms (⭐⭐⭐)
 + 64 Arrow

Mine 48 Copper Ore (⭐)
 + 8 Gold Ingot

Kill 110 Zombies (⭐⭐⭐⭐)
 + 1 Diamond Leggings
 + 48 Cooked Mutton

Kill 90 Zombies (⭐⭐⭐)
 + 1 Iron Boots: Protection IV

Kill 80 Creepers (⭐⭐⭐⭐)
 + 160 Arrow

Run 7,5km (⭐⭐⭐⭐)
 + 48 Gold Ingot
 + 96 Iron Ingot

Harvest 16 Potatoes (⭐)
 + 1 Chainmail Helmet

Harvest 88 Melon Slices (⭐⭐⭐)
 + 1 Chainmail Boots: Unbreaking II

Chop 96 Oak Logs (⭐⭐)
 + 1 Enchanted Book: Unbreaking II

Mine 48 Nether Gold Ore (⭐⭐⭐)
 + 5 Diamond

Chop 128 Logs (⭐)
 + 32 Coal

Find an Ocean Ruin (⭐⭐⭐)
 + 1 Iron Boots: Feather Falling III

Mine 40 Gold Ore (⭐⭐)
 + 32 Arrow
 + 3 Saddle

Mine 96 Iron Ore (⭐⭐)
 + 32 Copper Ingot
 + 1 Iron Helmet

Harvest 16 Cacti (⭐)
 + 1 Iron Helmet
 + 1 Iron Sword

Trade with a Villager 6 times (⭐⭐)
 + 24 Flint

Enchant 6 Books (⭐⭐)
 + 5 Splash Potion: Instant Health II

Break 6 Amethyst Clusters (⭐⭐)
 + 8 Slime Ball
 + 6 Potion: Speed

Mine 48 Coal Ore (⭐)
 + 2 Glow Ink Sac

Find an Igloo (⭐⭐⭐⭐)
 + 80 Copper Ingot
 + 1 Iron Chestplate: Unbreaking III

Find a Ruined Portal (⭐⭐⭐)
 + 48 Cooked Beef
 + 3 Potion: Night Vision

Kill 1 Ghast (⭐⭐⭐)
 + 4 Diamond

Enchant a Diamond Sword with Unbreaking II+ (⭐⭐)
 + 1 Enchanted Book: Blast Protection III

Harvest 112 Carrots (⭐⭐)
 + 6 Splash Potion: Jump Boost

Harvest 96 Sugar Cane (⭐⭐)
 + 1 Enchanted Book: Protection II

Kill 90 Drowned (⭐⭐⭐⭐)
 + 192 Arrow

Harvest 48 Carrots (⭐)
 + 1 Potion: Regeneration II
 + 1 Iron Helmet

Kill 40 Skeletons (⭐⭐⭐)
 + 4 Diamond

Harvest 32 Cacti (⭐⭐)
 + 20 Iron Ingot

Harvest 32 Sugar Cane (⭐)
 + 8 Flint

Mine 208 Coal Ore (⭐⭐)
 + 48 Cooked Mutton

Kill 3 Witches (⭐⭐⭐⭐)
 + 24 Ender Pearl

Mine 2 Emerald Ore (⭐⭐⭐)
 + 1 Iron Helmet: Projectile Protection III

Harvest 32 Potatoes (⭐)
 + 1 Bow
 + 1 Iron Pickaxe

Mine 72 Gold Ore (⭐⭐)
 + 1 Iron Sword: Sharpness III

Trade with a Cleric 4 times (⭐⭐⭐)
 + 9 Emerald

Kill 60 Creepers (⭐⭐⭐)
 + 64 Arrow
 + 1 Iron Leggings: Thorns III

Kill 80 Creepers (⭐⭐⭐⭐)
 + 24 Slime Ball

Enchant 4 Books (⭐⭐)
 + 20 Cooked Beef
 + 1 Iron Sword

Find an Ocean Ruin (⭐⭐⭐)
 + 4 Diamond

Enchant a Diamond Sword (⭐)
 + 1 Iron Boots
 + 4 Iron Ingot

Enchant a Fishing Rod (⭐)
 + 1 Chainmail Leggings

Kill 90 Zombies (⭐⭐⭐)
 + 1 Diamond Pickaxe: Unbreaking I

Trade with a Cleric 14 times (⭐⭐⭐⭐)
 + 3 Enchanted Golden Apple
 + 6 Potion: Water Breathing
 + 6 Chorus Fruit

Mine 8 Lapis Ore (⭐⭐)
 + 1 Iron Pickaxe: Silk Touch

Kill 30 Cows (⭐⭐)
 + 2 Amethyst Shard

Mine 96 Iron Ore (⭐⭐)
 + 24 Flint

Pot a Plant (⭐⭐)
 + 6 Splash Potion: Speed +

Harvest 40 Brown Mushrooms (⭐⭐)
 + 48 Cooked Chicken

Kill 110 Drowned (⭐⭐⭐⭐)
 + 1 Diamond Chestplate: Mending

Mine 80 Redstone Ore (⭐⭐⭐)
 + 48 Cooked Chicken
 + 48 Cooked Mutton

Harvest 16 Wheat (⭐)
 + 1 Iron Sword

Trade with a Armorer 8 times (⭐⭐⭐)
 + 96 Arrow

Enchant 4 Books (⭐⭐)
 + 1 Iron Pickaxe: Efficiency II

Kill 10 Chickens (⭐)
 + 1 Iron Chestplate

Kill 12 Blazes (⭐⭐⭐⭐)
 + 192 Arrow

Kill 10 Pigs (⭐)
 + 8 Cooked Beef

Trade with a Fletcher 10 times (⭐⭐)
